EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSPatientSummaryObligations; tatus; 0..1; An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being.; Base;   ; Section: Functional status 
EHDSPatientSummaryObligations; tatus.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. 
EHDSPatientSummaryObligations; tatus.condition; 0..*; Condition information describing patient's functional status or disability.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Condition information describing patient's functional status or disability. 
EHDSPatientSummaryObligations; tatus.assessment; 0..*; Assessment results regarding functional status.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Assessment results regarding functional status. 
EHDSPatientSummaryObligations; tatus.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional 
EHDSPatientSummaryObligations; ry; 0..1; Observations on social factors such as alcohol consumption or smoking. From the healthcare perspective, life-style factors relate to well-being but can also provide a source of risk factors.; Base;   ; Section: Social history 
EHDSPatientSummaryObligations; ry.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. 
EHDSPatientSummaryObligations; ry.observation; 0..*; Health related lifestyle factors or lifestyle observations and social determinants of health. Example: cigarette smoker, alcohol consumption; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Social history observations related to health 
EHDSPatientSummaryObligations; ry.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional 
EHDSPatientSummaryObligations; story; 0..1; To present the current health state of the patient with respect to pregnancy and to provide chronological and outcome information about past pregnancies.; Base;   ; Section: Pregnancy history 
EHDSPatientSummaryObligations; story.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. 
EHDSPatientSummaryObligations; story.currentPregnancyStatus; 0..1; Current state of the pregnancy at the date the observation was made, e.g. pregnant, not pregnant, unknown.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCurrentPregnancy;   ; Current pregnancy status 
EHDSPatientSummaryObligations; story.previousPregnancies; 0..*; Information about previous pregnancies, including outcomes and number of children/fetuses in each pregnancy.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPregnancyHistory;   ; History of previous pregnancies 
EHDSPatientSummaryObligations; story.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional 
EHDSPatientSummaryObligations; ry; 0..1; Captures relevant information about the patient's recent travel history that may be of clinical relevance — particularly in relation to exposure to infectious diseases, epidemiological risks, or environmental factors. The intent is to support clinical decision-making and risk assessment, especially in contexts such as outbreaks or endemic disease regions.; Base;   ; Section: Travel history 
EHDSPatientSummaryObligations; ry.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. 
EHDSPatientSummaryObligations; ry.travelHistory; 0..*; Travel history for one country; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTravelHistory;   ; Travel history for one country 
EHDSPatientSummaryObligations; ry.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional 
EHDSPatientSummaryObligations; y; 0..1; A concise narrative from the patient’s perspective about their present health state. This is a record of things that a person feels are important to communicate about their needs, strengths, values, concerns and preferences to others providing support and care.; Base;   ; Section: Patient story 
EHDSPatientSummaryObligations; y.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional 
EHDSPatientSummaryObligations; ctives; 0..1; Provision for healthcare decisions if, in the future, a person is unable to make those decisions.; Base;   ; Section: Advance Directives 
EHDSPatientSummaryObligations; ctives.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. 
EHDSPatientSummaryObligations; ctives.advanceDirective; 0..*; Provision for healthcare decisions if, in the future, a person is unable to make those decisions; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAdvanceDirective;   ; Provision for healthcare decisions if, in the future, a person is unable to make those decisions 
EHDSPatientSummaryObligations; ctives.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional 
EHDSPatientSummaryObligations; Results; 0..1; Relevant observation results obtained on the patient. These may be measurements, laboratory results, anatomic pathology results, radiology results or other imaging or clinical results.; Base;   ; Section: Observation results 
EHDSPatientSummaryObligations; Results.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. 
EHDSPatientSummaryObligations; Results.result; 0..*; Observation results pertaining to the subject of care's health condition and which might have impact on future treatments; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Observation results pertaining to the subject of care's health condition and which might have impact on future treatments 
EHDSPatientSummaryObligations; Results.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional 
EHDSPatientSummaryObligations; ; 0..1; Therapeutic recommendations that do not include pharmacologic treatments, such as diet, physical exercise, planned surgeries; Base;   ; Section: Care plans 
EHDSPatientSummaryObligations; eneratedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. 
EHDSPatientSummaryObligations; arePlan; 0..*; Describes the intention of how one or more practitioners intend to deliver care for a particular patient for a period of time, possibly limited to care for a specific condition or set of conditions.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCarePlan;   ; Describes the intention of how one or more practitioners intend to deliver care for a particular patient for a period of time, possibly limited to care for a specific condition or set of conditions. 
EHDSPatientSummaryObligations; ote; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional 
EHDSPregnancyHistory; ; 0..*; Pregnancy history for one pregnancy; ;   ; Pregnancy history model 
EHDSPregnancyHistory; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSPregnancyHistory; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSPregnancyHistory; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSPregnancyHistory; header.author[x]; 0..*; Author of this observation; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author of this observation 
EHDSPregnancyHistory; header.author[x]; 0..*; Author of this observation; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author of this observation 
EHDSPregnancyHistory; header.author[x]; 0..*; Author of this observation; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author of this observation 
EHDSPregnancyHistory; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSPregnancyHistory; header.status; 1..1; Status of this observation; CodeableConcept;   ; Status of this observation 
EHDSPregnancyHistory; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSPregnancyHistory; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSPregnancyHistory; endDate; 0..1; The end date of the pregnancy.; dateTime;   ; The end date of the pregnancy. 
EHDSPregnancyHistory; outcome; 0..1; The outcome of the pregnancy.; CodeableConcept; SNOMED CT (preferred)  ; The outcome of the pregnancy. 
EHDSPregnancyHistory; numberOfFetuses; 0..1; Number of children/fetuses in this specific pregnancy; integer;   ; Number of children/fetuses in this specific pregnancy 
EHDSPregnancyHistory; note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional 
EHDSProcedure; ; 0..*; The model provides basic information about a procedure performed on or for a patient. This includes surgical, therapeutic, and diagnostic procedures, as well as specimen collection. The model does not cover procedures in the planning stage.; ;   ; Procedure model 
EHDSProcedure; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSProcedure; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSProcedure; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSProcedure; header.author[x]; 0..*; Author responsible for the provided information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author responsible for the provided information. 
EHDSProcedure; header.author[x]; 0..*; Author responsible for the provided information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author responsible for the provided information. 
EHDSProcedure; header.author[x]; 0..*; Author responsible for the provided information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author responsible for the provided information. 
EHDSProcedure; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSProcedure; header.status; 1..1; Status of the procedure (e.g. completed, on hold, stopped); CodeableConcept; HL7 Event Status (preferred)  ; Status of the procedure (e.g. completed, on hold, stopped) 
EHDSProcedure; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSProcedure; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSProcedure; code; 1..1; Concept code and display name identifying the type of procedure; CodeableConcept; SNOMED CT (preferred)  ; Concept code and display name identifying the type of procedure 
EHDSProcedure; procedureDate[x]; 0..1; Date and time of the procedure or interval of its performance; dateTime;   ; Date and time of the procedure or interval of its performance 
EHDSProcedure; procedureDate[x]; 0..1; Date and time of the procedure or interval of its performance; Period;   ; Date and time of the procedure or interval of its performance 
EHDSProcedure; performer; 0..*; Actors who performed the procedure (only main responsible actors expected); http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Actors who performed the procedure (only main responsible actors expected) 
EHDSProcedure; bodySite; 0..*; Target body site of the procedure. Laterality may be included as a qualifier of the body site.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; Target body site of the procedure. Laterality may be included as a qualifier of the body site. 
EHDSProcedure; reason[x]; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; CodeableConcept; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedure; reason[x]; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedure; reason[x]; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedure; reason[x]; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedure; outcome; 0..1; The immediate result of the procedure (e.g. successful, unsuccessful). This does not include assessment over a longer period of time.; CodeableConcept; SNOMED CT (preferred)  ; The immediate result of the procedure (e.g. successful, unsuccessful). This does not include assessment over a longer period of time. 
EHDSProcedure; complication; 0..*; Any complications that occurred during the procedure, or in the immediate post-procedure period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.; CodeableConcept; ICD-10, SNOMED CT (preferred)  ; Any complications that occurred during the procedure, or in the immediate post-procedure period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues. 
EHDSProcedure; deviceUsed; 0..*; Device used to perform the procedure; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Device used to perform the procedure 
EHDSProcedure; focalDevice; 0..*; Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure. 
EHDSProcedure; note; 0..1; Additional information about the procedure; string;   ; Additional information about the procedure 
EHDSProcedureLaboratoryObligations; ; 0..*; The model provides basic information about a procedure performed on or for a patient. This includes surgical, therapeutic, and diagnostic procedures, as well as specimen collection. The model does not cover procedures in the planning stage.; ;   ; Procedure model 
EHDSProcedureLaboratoryObligations; ; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSProcedureLaboratoryObligations; ; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSProcedureLaboratoryObligations; ; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSProcedureLaboratoryObligations; ; 0..*; Author responsible for the provided information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author responsible for the provided information. 
EHDSProcedureLaboratoryObligations; ; 0..*; Author responsible for the provided information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author responsible for the provided information. 
EHDSProcedureLaboratoryObligations; ; 0..*; Author responsible for the provided information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author responsible for the provided information. 
EHDSProcedureLaboratoryObligations; ; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSProcedureLaboratoryObligations; ; 1..1; Status of the procedure (e.g. completed, on hold, stopped); CodeableConcept; HL7 Event Status (preferred)  ; Status of the procedure (e.g. completed, on hold, stopped) 
EHDSProcedureLaboratoryObligations; ; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSProcedureLaboratoryObligations; ; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSProcedureLaboratoryObligations; ; 1..1; Concept code and display name identifying the type of procedure; CodeableConcept; SNOMED CT (preferred)  ; Concept code and display name identifying the type of procedure 
EHDSProcedureLaboratoryObligations; ; 0..1; Date and time of the procedure or interval of its performance; dateTime;   ; Date and time of the procedure or interval of its performance 
EHDSProcedureLaboratoryObligations; ; 0..1; Date and time of the procedure or interval of its performance; Period;   ; Date and time of the procedure or interval of its performance 
EHDSProcedureLaboratoryObligations; edureDateDateTime; 0..1; Date and time of the procedure or interval of its performance; dateTime;   ; Date and time of the procedure or interval of its performance 
EHDSProcedureLaboratoryObligations; ; 0..*; Actors who performed the procedure (only main responsible actors expected); http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Actors who performed the procedure (only main responsible actors expected) 
EHDSProcedureLaboratoryObligations; ; 0..*; Target body site of the procedure. Laterality may be included as a qualifier of the body site.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; Target body site of the procedure. Laterality may be included as a qualifier of the body site. 
EHDSProcedureLaboratoryObligations; ; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; CodeableConcept; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedureLaboratoryObligations; ; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedureLaboratoryObligations; ; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedureLaboratoryObligations; ; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedureLaboratoryObligations; ; 0..1; The immediate result of the procedure (e.g. successful, unsuccessful). This does not include assessment over a longer period of time.; CodeableConcept; SNOMED CT (preferred)  ; The immediate result of the procedure (e.g. successful, unsuccessful). This does not include assessment over a longer period of time. 
EHDSProcedureLaboratoryObligations; ; 0..*; Any complications that occurred during the procedure, or in the immediate post-procedure period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.; CodeableConcept; ICD-10, SNOMED CT (preferred)  ; Any complications that occurred during the procedure, or in the immediate post-procedure period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues. 
EHDSProcedureLaboratoryObligations; ; 0..*; Device used to perform the procedure; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Device used to perform the procedure 
EHDSProcedureLaboratoryObligations; ; 0..*; Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure. 
EHDSProcedureLaboratoryObligations; ; 0..1; Additional information about the procedure; string;   ; Additional information about the procedure 
EHDSProcedureObligations; ; 0..*; The model provides basic information about a procedure performed on or for a patient. This includes surgical, therapeutic, and diagnostic procedures, as well as specimen collection. The model does not cover procedures in the planning stage.; ;   ; Procedure model 
EHDSProcedureObligations; ; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSProcedureObligations; ect; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSProcedureObligations; tifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSProcedureObligations; or[x]; 0..*; Author responsible for the provided information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author responsible for the provided information. 
EHDSProcedureObligations; or[x]; 0..*; Author responsible for the provided information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author responsible for the provided information. 
EHDSProcedureObligations; or[x]; 0..*; Author responsible for the provided information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author responsible for the provided information. 
EHDSProcedureObligations; ; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSProcedureObligations; us; 1..1; Status of the procedure (e.g. completed, on hold, stopped); CodeableConcept; HL7 Event Status (preferred)  ; Status of the procedure (e.g. completed, on hold, stopped) 
EHDSProcedureObligations; ce; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSProcedureObligations; uage; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSProcedureObligations; ; 1..1; Concept code and display name identifying the type of procedure; CodeableConcept; SNOMED CT (preferred)  ; Concept code and display name identifying the type of procedure 
EHDSProcedureObligations; te[x]; 0..1; Date and time of the procedure or interval of its performance; dateTime;   ; Date and time of the procedure or interval of its performance 
EHDSProcedureObligations; te[x]; 0..1; Date and time of the procedure or interval of its performance; Period;   ; Date and time of the procedure or interval of its performance 
EHDSProcedureObligations; ; 0..*; Actors who performed the procedure (only main responsible actors expected); http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Actors who performed the procedure (only main responsible actors expected) 
EHDSProcedureObligations; ; 0..*; Target body site of the procedure. Laterality may be included as a qualifier of the body site.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; Target body site of the procedure. Laterality may be included as a qualifier of the body site. 
EHDSProcedureObligations; ; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; CodeableConcept; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedureObligations; ; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedureObligations; ; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedureObligations; ; 0..*; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure; SNOMED CT, ICD-10, Orphacode (preferred)  ; The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason. 
EHDSProcedureObligations; ; 0..1; The immediate result of the procedure (e.g. successful, unsuccessful). This does not include assessment over a longer period of time.; CodeableConcept; SNOMED CT (preferred)  ; The immediate result of the procedure (e.g. successful, unsuccessful). This does not include assessment over a longer period of time. 
EHDSProcedureObligations; n; 0..*; Any complications that occurred during the procedure, or in the immediate post-procedure period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.; CodeableConcept; ICD-10, SNOMED CT (preferred)  ; Any complications that occurred during the procedure, or in the immediate post-procedure period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues. 
EHDSProcedureObligations; ; 0..*; Device used to perform the procedure; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Device used to perform the procedure 
EHDSProcedureObligations; ; 0..*; Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure. 
EHDSProcedureObligations; ; 0..1; Additional information about the procedure; string;   ; Additional information about the procedure 
EHDSRelatedPerson; ; 0..*; Model for information about a guardian or other person related to the subject of care; ;   ; Related person model 
EHDSRelatedPerson; personalIdentifier; 0..*; An identifier of the related person that is unique within a defined scope (e.g. national ID number). Multiple identifiers could be provided.; Identifier;   ; An identifier of the related person that is unique within a defined scope (e.g. national ID number). Multiple identifiers could be provided. 
EHDSRelatedPerson; name; 0..*; Name associated with the person.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName;   ; Name associated with the person. 
EHDSRelatedPerson; subject; 1..1; The patient in relation to whom the related person is defined.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The patient in relation to whom the related person is defined. 
EHDSRelatedPerson; relationship; 0..1; Relationship between a patient and a contact person for that patient. This includes relatives, guardians, caring persons etc.; CodeableConcept; HL7 RoleCode (preferred)  ; Relationship between a patient and a contact person for that patient. This includes relatives, guardians, caring persons etc. 
EHDSRelatedPerson; address; 0..*; Mailing and home or office address; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress;   ; Mailing and home or office address 
EHDSRelatedPerson; telecom; 0..*; Telecommunication contact information (addresses) of the person.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom;   ; Telecommunication contact information (addresses) of the person. 
EHDSRelatedPersonLaboratoryObligations; ; 0..*; Model for information about a guardian or other person related to the subject of care; ;   ; Related person model 
EHDSRelatedPersonLaboratoryObligations; ; 0..*; An identifier of the related person that is unique within a defined scope (e.g. national ID number). Multiple identifiers could be provided.; Identifier;   ; An identifier of the related person that is unique within a defined scope (e.g. national ID number). Multiple identifiers could be provided. 
EHDSRelatedPersonLaboratoryObligations; ; 0..*; Name associated with the person.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName;   ; Name associated with the person. 
EHDSRelatedPersonLaboratoryObligations; ; 1..1; The patient in relation to whom the related person is defined.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The patient in relation to whom the related person is defined. 
EHDSRelatedPersonLaboratoryObligations; ; 0..1; Relationship between a patient and a contact person for that patient. This includes relatives, guardians, caring persons etc.; CodeableConcept; HL7 RoleCode (preferred)  ; Relationship between a patient and a contact person for that patient. This includes relatives, guardians, caring persons etc. 
EHDSRelatedPersonLaboratoryObligations; ; 0..*; Mailing and home or office address; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress;   ; Mailing and home or office address 
EHDSRelatedPersonLaboratoryObligations; ; 0..*; Telecommunication contact information (addresses) of the person.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom;   ; Telecommunication contact information (addresses) of the person. 
EHDSRelatedPersonObligations; ; 0..*; Model for information about a guardian or other person related to the subject of care; ;   ; Related person model 
EHDSRelatedPersonObligations; ntifier; 0..*; An identifier of the related person that is unique within a defined scope (e.g. national ID number). Multiple identifiers could be provided.; Identifier;   ; An identifier of the related person that is unique within a defined scope (e.g. national ID number). Multiple identifiers could be provided. 
EHDSRelatedPersonObligations; ; 0..*; Name associated with the person.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName;   ; Name associated with the person. 
EHDSRelatedPersonObligations; ; 1..1; The patient in relation to whom the related person is defined.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The patient in relation to whom the related person is defined. 
EHDSRelatedPersonObligations; p; 0..1; Relationship between a patient and a contact person for that patient. This includes relatives, guardians, caring persons etc.; CodeableConcept; HL7 RoleCode (preferred)  ; Relationship between a patient and a contact person for that patient. This includes relatives, guardians, caring persons etc. 
EHDSRelatedPersonObligations; ; 0..*; Mailing and home or office address; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress;   ; Mailing and home or office address 
